id,name,unit_cost_material,unit_cost_labor,productivity_unit_per_hr
f8b1f6e8-daa4-4eb5-af91-d4fe8e34e9d9,Subfloor Replacement,2.50,1.75,32.0
a7f93e1c-b426-4178-9d1b-3e02b8b3a882,Drywall Installation,0.85,2.25,80.0
4b9c1542-e913-4f2a-9c8d-890d8c7a5723,Roof Shingle Replacement,1.25,1.50,120.0
6e7d3f2a-9b8c-4d1e-8f7g-6h5j4k3l2m1n,Vinyl Siding Installation,3.20,2.75,60.0
5a6b7c8d-9e0f-1a2b-3c4d-5e6f7g8h9i0j,Window Replacement,185.00,45.00,1.5
1a2b3c4d-5e6f-7g8h-9i0j-1k2l3m4n5o6p,Door Installation,135.00,65.00,1.0
7g8h9i0j-1k2l-3m4n-5o6p-7q8r9s0t1u2v,Bathroom Vanity Installation,225.00,85.00,1.2
3m4n5o6p-7q8r-9s0t-1u2v-3w4x5y6z7a8b,Kitchen Countertop Installation,45.00,35.00,12.0
9s0t1u2v-3w4x-5y6z-7a8b-9c0d1e2f3g4h,Carpet Installation,2.75,1.25,100.0
5y6z7a8b-9c0d-1e2f-3g4h-5i6j7k8l9m0n,Laminate Flooring Installation,3.50,2.00,80.0
1e2f3g4h-5i6j-7k8l-9m0n-1o2p3q4r5s6t,Water Heater Replacement,450.00,125.00,1.0
7k8l9m0n-1o2p-3q4r-5s6t-7u8v9w0x1y2z,HVAC Unit Installation,1200.00,250.00,0.5
3q4r5s6t-7u8v-9w0x-1y2z-3a4b5c6d7e8f,Plumbing Pipe Replacement,6.50,12.00,25.0
9w0x1y2z-3a4b-5c6d-7e8f-9g0h1i2j3k4l,Electrical Wiring (Per Circuit),65.00,95.00,2.0
5c6d7e8f-9g0h-1i2j-3k4l-5m6n7o8p9q0r,Ceiling Fan Installation,85.00,65.00,2.0
1i2j3k4l-5m6n-7o8p-9q0r-1s2t3u4v5w6x,Interior Painting,0.65,1.35,250.0
7o8p9q0r-1s2t-3u4v-5w6x-7y8z9a0b1c2d,Exterior Painting,0.75,1.65,200.0
3u4v5w6x-7y8z-9a0b-1c2d-3e4f5g6h7i8j,Tile Installation (Floor),5.25,7.50,40.0
9a0b1c2d-3e4f-5g6h-7i8j-9k0l1m2n3o4p,Tile Installation (Wall),5.75,8.25,35.0
5g6h7i8j-9k0l-1m2n-3o4p-5q6r7s8t9u0v,Deck Building,12.50,8.75,15.0